time  x  y  z  yaw
4.256 166.1391 1.1030 0.3292 0.0000
4.288 166.1616 1.1020 0.3292 0.0000
4.320 166.1841 1.1009 0.3292 0.0000
4.352 166.2066 1.0999 0.3292 0.0000
4.384 166.2291 1.0988 0.3292 0.0000
4.416 166.2517 1.0978 0.3292 0.0000
4.448 166.2742 1.0967 0.3292 0.0000
4.480 166.2967 1.0957 0.3292 0.0000
4.512 166.3192 1.0946 0.3292 0.0000
4.544 166.3417 1.0935 0.3292 0.0000
4.576 166.3642 1.0925 0.3292 0.0000
4.608 166.3867 1.0914 0.3292 0.0000
4.640 166.4092 1.0904 0.3292 0.0000
4.672 166.4317 1.0893 0.3292 0.0000
4.704 166.4542 1.0883 0.3292 0.0000
4.736 166.4767 1.0872 0.3292 0.0000
4.768 166.4992 1.0862 0.3292 0.0000
4.800 166.5217 1.0851 0.3292 0.0000
4.832 166.5442 1.0840 0.3292 0.0000
4.864 166.5667 1.0830 0.3292 0.0000
4.896 166.5892 1.0819 0.3292 0.0000
4.928 166.6117 1.0809 0.3292 0.0000
4.960 166.6342 1.0798 0.3292 0.0000
4.992 166.6567 1.0788 0.3292 0.0000
5.024 166.6792 1.0777 0.3292 0.0000
5.056 166.7017 1.0767 0.3292 0.0000
5.088 166.7242 1.0756 0.3292 0.0000
5.120 166.7467 1.0745 0.3292 0.0000
5.152 166.7692 1.0735 0.3292 0.0000
5.184 166.7917 1.0724 0.3292 0.0000
5.216 166.8142 1.0714 0.3292 0.0000
5.248 166.8367 1.0703 0.3292 0.0000
5.280 166.8592 1.0693 0.3292 0.0000
5.312 166.8817 1.0682 0.3292 0.0000
5.344 166.9042 1.0672 0.3292 0.0000
5.376 166.9268 1.0661 0.3292 0.0000
5.408 166.9493 1.0651 0.3292 0.0000
5.440 166.9718 1.0640 0.3292 0.0000
5.472 166.9943 1.0629 0.3292 0.0000
5.504 167.0168 1.0619 0.3292 0.0000
5.536 167.0393 1.0608 0.3292 0.0000
5.568 167.0618 1.0598 0.3292 0.0000
5.600 167.0843 1.0587 0.3292 0.0000
5.632 167.1068 1.0577 0.3292 0.0000
5.664 167.1293 1.0566 0.3292 0.0000
5.696 167.1518 1.0556 0.3292 0.0000
5.728 167.1743 1.0545 0.3292 0.0000
5.760 167.1968 1.0534 0.3292 0.0000
5.792 167.2193 1.0524 0.3292 0.0000
5.824 167.2418 1.0513 0.3292 0.0000
5.856 167.2643 1.0503 0.3292 0.0000
5.888 167.2868 1.0492 0.3292 0.0000
5.920 167.3093 1.0482 0.3292 0.0000
5.952 167.3318 1.0471 0.3292 0.0000
5.984 167.3543 1.0461 0.3292 0.0000
6.016 167.3768 1.0450 0.3292 0.0000
6.048 167.3993 1.0439 0.3292 0.0000
6.080 167.4218 1.0429 0.3292 0.0000
6.112 167.4443 1.0418 0.3292 0.0000
6.144 167.4668 1.0408 0.3292 0.0000
6.176 167.4893 1.0397 0.3292 0.0000
6.208 167.5118 1.0387 0.3292 0.0000
6.240 167.5343 1.0376 0.3292 0.0000
6.272 167.5568 1.0366 0.3292 0.0000
6.304 167.5793 1.0355 0.3292 0.0000
6.336 167.6018 1.0345 0.3292 0.0000
6.368 167.6244 1.0334 0.3292 0.0000
6.400 167.6469 1.0323 0.3292 0.0000
6.432 167.6694 1.0313 0.3292 0.0000
6.464 167.6919 1.0302 0.3292 0.0000
6.496 167.7144 1.0292 0.3292 0.0000
6.528 167.7369 1.0281 0.3292 0.0000
6.560 167.7594 1.0271 0.3292 0.0000
6.592 167.7819 1.0260 0.3292 0.0000
6.624 167.8044 1.0250 0.3292 0.0000
6.656 167.8269 1.0239 0.3292 0.0000
6.688 167.8494 1.0228 0.3292 0.0000
6.720 167.8719 1.0218 0.3292 0.0000
6.752 167.8944 1.0207 0.3292 0.0000
6.784 167.9169 1.0197 0.3292 0.0000
6.816 167.9394 1.0186 0.3292 0.0000
6.848 167.9619 1.0176 0.3292 0.0000
6.880 167.9844 1.0165 0.3292 0.0000
6.912 168.0069 1.0155 0.3292 0.0000
6.944 168.0294 1.0144 0.3292 0.0000
6.976 168.0519 1.0133 0.3292 0.0000
7.008 168.0744 1.0123 0.3292 0.0000
7.040 168.0969 1.0112 0.3292 0.0000
7.072 168.1194 1.0102 0.3292 0.0000
7.104 168.1419 1.0091 0.3292 0.0000
7.136 168.1644 1.0081 0.3292 0.0000
7.168 168.1869 1.0070 0.3292 0.0000
7.200 168.2094 1.0060 0.3292 0.0000
7.232 168.2319 1.0049 0.3292 0.0000
7.264 168.2544 1.0039 0.3292 0.0000
7.296 168.2769 1.0028 0.3292 0.0000
7.328 168.2995 1.0017 0.3292 0.0000
7.360 168.3220 1.0007 0.3292 0.0000
7.392 168.3445 0.9996 0.3292 0.0000
7.424 168.3670 0.9986 0.3292 0.0000
7.456 168.3895 0.9975 0.3292 0.0000
7.488 168.4120 0.9965 0.3292 0.0000
7.520 168.4345 0.9954 0.3292 0.0000
7.552 168.4570 0.9944 0.3292 0.0000
7.584 168.4795 0.9933 0.3292 0.0000
7.616 168.5020 0.9922 0.3292 0.0000
7.648 168.5245 0.9912 0.3292 0.0000
7.680 168.5470 0.9901 0.3292 0.0000
7.712 168.5695 0.9891 0.3292 0.0000
7.744 168.5920 0.9880 0.3292 0.0000
7.776 168.6145 0.9870 0.3292 0.0000
7.808 168.6370 0.9859 0.3292 0.0000
7.840 168.6595 0.9849 0.3292 0.0000
7.872 168.6820 0.9838 0.3292 0.0000
7.904 168.7045 0.9828 0.3292 0.0000
7.936 168.7270 0.9817 0.3292 0.0000
7.968 168.7495 0.9806 0.3292 0.0000
8.000 168.7720 0.9796 0.3292 0.0000
8.032 168.7945 0.9785 0.3292 0.0000
8.064 168.8170 0.9775 0.3292 0.0000
8.096 168.8395 0.9764 0.3292 0.0000
8.128 168.8620 0.9754 0.3292 0.0000
8.160 168.8845 0.9743 0.3292 0.0000
8.192 168.9070 0.9733 0.3292 0.0000
8.224 168.9295 0.9722 0.3292 0.0000
8.256 168.9520 0.9711 0.3292 0.0000
8.288 168.9745 0.9701 0.3292 0.0000
8.320 168.9971 0.9690 0.3292 0.0000
8.352 169.0196 0.9680 0.3292 0.0000
8.384 169.0421 0.9669 0.3292 0.0000
8.416 169.0646 0.9659 0.3292 0.0000
8.448 169.0871 0.9648 0.3292 0.0000
8.480 169.1096 0.9638 0.3292 0.0000
8.512 169.1321 0.9627 0.3292 0.0000
8.544 169.1546 0.9616 0.3292 0.0000
8.576 169.1771 0.9606 0.3292 0.0000
8.608 169.1996 0.9595 0.3292 0.0000
8.640 169.2221 0.9585 0.3292 0.0000
8.672 169.2446 0.9574 0.3292 0.0000
8.704 169.2671 0.9564 0.3292 0.0000
8.736 169.2896 0.9553 0.3292 0.0000
8.768 169.3121 0.9543 0.3292 0.0000
8.800 169.3346 0.9532 0.3292 0.0000
8.832 169.3571 0.9522 0.3292 0.0000
8.864 169.3796 0.9511 0.3292 0.0000
8.896 169.4021 0.9500 0.3292 0.0000
8.928 169.4246 0.9490 0.3292 0.0000
8.960 169.4471 0.9479 0.3292 0.0000
8.992 169.4696 0.9469 0.3292 0.0000
9.024 169.4921 0.9458 0.3292 0.0000
9.056 169.5146 0.9448 0.3292 0.0000
9.088 169.5371 0.9437 0.3292 0.0000
9.120 169.5596 0.9427 0.3292 0.0000
9.152 169.5821 0.9416 0.3292 0.0000
9.184 169.6046 0.9405 0.3292 0.0000
9.216 169.6271 0.9395 0.3292 0.0000
9.248 169.6496 0.9384 0.3292 0.0000
9.280 169.6722 0.9374 0.3292 0.0000
9.312 169.6947 0.9363 0.3292 0.0000
9.344 169.7172 0.9353 0.3292 0.0000
9.376 169.7397 0.9342 0.3292 0.0000
9.408 169.7622 0.9332 0.3292 0.0000
9.440 169.7847 0.9321 0.3292 0.0000
9.472 169.8072 0.9310 0.3292 0.0000
9.504 169.8297 0.9300 0.3292 0.0000
9.536 169.8522 0.9289 0.3292 0.0000
9.568 169.8747 0.9279 0.3292 0.0000
9.600 169.8972 0.9268 0.3292 0.0000
9.632 169.9197 0.9258 0.3292 0.0000
9.664 169.9422 0.9247 0.3292 0.0000
9.696 169.9647 0.9237 0.3292 0.0000
9.728 169.9872 0.9226 0.3292 0.0000
9.760 170.0097 0.9216 0.3292 0.0000
9.792 170.0322 0.9205 0.3292 0.0000
9.824 170.0547 0.9194 0.3292 0.0000
9.856 170.0772 0.9184 0.3292 0.0000
9.888 170.0997 0.9173 0.3292 0.0000
9.920 170.1222 0.9163 0.3292 0.0000
9.952 170.1447 0.9152 0.3292 0.0000
9.984 170.1672 0.9142 0.3292 0.0000
10.016 170.1897 0.9131 0.3292 0.0000
10.048 170.2122 0.9121 0.3292 0.0000
10.080 170.2347 0.9110 0.3292 0.0000
10.112 170.2572 0.9099 0.3292 0.0000
10.144 170.2797 0.9089 0.3292 0.0000
10.176 170.3022 0.9078 0.3292 0.0000
10.208 170.3247 0.9068 0.3292 0.0000
10.240 170.3472 0.9057 0.3292 0.0000
10.272 170.3698 0.9047 0.3292 0.0000
10.304 170.3923 0.9036 0.3292 0.0000
10.336 170.4148 0.9026 0.3292 0.0000
10.368 170.4373 0.9015 0.3292 0.0000
10.400 170.4598 0.9004 0.3292 0.0000
10.432 170.4823 0.8994 0.3292 0.0000
10.464 170.5048 0.8983 0.3292 0.0000
10.496 170.5273 0.8973 0.3292 0.0000
10.528 170.5498 0.8962 0.3292 0.0000
10.560 170.5723 0.8952 0.3292 0.0000
10.592 170.5948 0.8941 0.3292 0.0000
10.624 170.6173 0.8931 0.3292 0.0000
10.656 170.6398 0.8920 0.3292 0.0000
10.688 170.6623 0.8910 0.3292 0.0000
10.720 170.6848 0.8899 0.3292 0.0000
10.752 170.7073 0.8888 0.3292 0.0000
10.784 170.7298 0.8878 0.3292 0.0000
10.816 170.7523 0.8867 0.3292 0.0000
10.848 170.7748 0.8857 0.3292 0.0000
10.880 170.7973 0.8846 0.3292 0.0000
10.912 170.8198 0.8836 0.3292 0.0000
10.944 170.8423 0.8825 0.3292 0.0000
10.976 170.8648 0.8815 0.3292 0.0000
11.008 170.8873 0.8804 0.3292 0.0000
11.040 170.9098 0.8793 0.3292 0.0000
11.072 170.9323 0.8783 0.3292 0.0000
11.104 170.9548 0.8772 0.3292 0.0000
11.136 170.9773 0.8762 0.3292 0.0000
11.168 170.9998 0.8751 0.3292 0.0000
11.200 171.0223 0.8741 0.3292 0.0000
11.232 171.0449 0.8730 0.3292 0.0000
11.264 171.0674 0.8720 0.3292 0.0000
11.296 171.0899 0.8709 0.3292 0.0000
11.328 171.1124 0.8698 0.3292 0.0000
11.360 171.1349 0.8688 0.3292 0.0000
11.392 171.1574 0.8677 0.3292 0.0000
11.424 171.1799 0.8667 0.3292 0.0000
11.456 171.2024 0.8656 0.3292 0.0000
11.488 171.2249 0.8646 0.3292 0.0000
11.520 171.2474 0.8635 0.3292 0.0000
11.552 171.2699 0.8625 0.3292 0.0000
11.584 171.2924 0.8614 0.3292 0.0000
11.616 171.3149 0.8604 0.3292 0.0000
11.648 171.3374 0.8593 0.3292 0.0000
11.680 171.3599 0.8582 0.3292 0.0000
11.712 171.3824 0.8572 0.3292 0.0000
11.744 171.4049 0.8561 0.3292 0.0000
11.776 171.4274 0.8551 0.3292 0.0000
11.808 171.4499 0.8540 0.3292 0.0000
11.840 171.4724 0.8530 0.3292 0.0000
11.872 171.4949 0.8519 0.3292 0.0000
11.904 171.5174 0.8509 0.3292 0.0000
11.936 171.5399 0.8498 0.3292 0.0000
11.968 171.5624 0.8487 0.3292 0.0000
12.000 171.5849 0.8477 0.3292 0.0000
12.032 171.6074 0.8466 0.3292 0.0000
12.064 171.6299 0.8456 0.3292 0.0000
12.096 171.6524 0.8445 0.3292 0.0000
12.128 171.6749 0.8435 0.3292 0.0000
12.160 171.6974 0.8424 0.3292 0.0000
12.192 171.7199 0.8414 0.3292 0.0000
12.224 171.7425 0.8403 0.3292 0.0000
12.256 171.7650 0.8392 0.3292 0.0000
12.288 171.7875 0.8382 0.3292 0.0000
12.320 171.8100 0.8371 0.3292 0.0000
12.352 171.8325 0.8361 0.3292 0.0000
12.384 171.8550 0.8350 0.3292 0.0000
12.416 171.8775 0.8340 0.3292 0.0000
12.448 171.9000 0.8329 0.3292 0.0000
12.480 171.9225 0.8319 0.3292 0.0000
12.512 171.9450 0.8308 0.3292 0.0000
12.544 171.9675 0.8298 0.3292 0.0000
12.576 171.9900 0.8287 0.3292 0.0000
12.608 172.0125 0.8276 0.3292 0.0000
12.640 172.0350 0.8266 0.3292 0.0000
12.672 172.0575 0.8255 0.3292 0.0000
12.704 172.0800 0.8245 0.3292 0.0000
12.736 172.1025 0.8234 0.3292 0.0000
12.768 172.1250 0.8224 0.3292 0.0000
12.800 172.1475 0.8213 0.3292 0.0000
12.832 172.1700 0.8203 0.3292 0.0000
12.864 172.1925 0.8192 0.3292 0.0000
12.896 172.2150 0.8181 0.3292 0.0000
12.928 172.2375 0.8171 0.3292 0.0000
12.960 172.2600 0.8160 0.3292 0.0000
12.992 172.2825 0.8150 0.3292 0.0000
13.024 172.3050 0.8139 0.3292 0.0000
13.056 172.3275 0.8129 0.3292 0.0000
13.088 172.3500 0.8118 0.3292 0.0000
13.120 172.3725 0.8108 0.3292 0.0000
13.152 172.3950 0.8097 0.3292 0.0000
13.184 172.4176 0.8087 0.3292 0.0000
13.216 172.4401 0.8076 0.3292 0.0000
13.248 172.4626 0.8065 0.3292 0.0000
13.280 172.4851 0.8055 0.3292 0.0000
13.312 172.5076 0.8044 0.3292 0.0000
13.344 172.5301 0.8034 0.3292 0.0000
13.376 172.5526 0.8023 0.3292 0.0000
13.408 172.5751 0.8013 0.3292 0.0000
13.440 172.5976 0.8002 0.3292 0.0000
13.472 172.6201 0.7992 0.3292 0.0000
13.504 172.6426 0.7981 0.3292 0.0000
13.536 172.6651 0.7970 0.3292 0.0000
13.568 172.6876 0.7960 0.3292 0.0000
13.600 172.7101 0.7949 0.3292 0.0000
13.632 172.7326 0.7939 0.3292 0.0000
13.664 172.7551 0.7928 0.3292 0.0000
13.696 172.7776 0.7918 0.3292 0.0000
13.728 172.8001 0.7907 0.3292 0.0000
13.760 172.8226 0.7897 0.3292 0.0000
13.792 172.8451 0.7886 0.3292 0.0000
13.824 172.8676 0.7875 0.3292 0.0000
13.856 172.8901 0.7865 0.3292 0.0000
13.888 172.9126 0.7854 0.3292 0.0000
13.920 172.9351 0.7844 0.3292 0.0000
13.952 172.9576 0.7833 0.3292 0.0000
13.984 172.9801 0.7823 0.3292 0.0000
14.016 173.0026 0.7812 0.3292 0.0000
14.048 173.0251 0.7802 0.3292 0.0000
14.080 173.0476 0.7791 0.3292 0.0000
14.112 173.0701 0.7781 0.3292 0.0000
14.144 173.0926 0.7770 0.3292 0.0000
14.176 173.1152 0.7759 0.3292 0.0000
14.208 173.1377 0.7749 0.3292 0.0000
14.240 173.1602 0.7738 0.3292 0.0000
14.272 173.1827 0.7728 0.3292 0.0000
14.304 173.2052 0.7717 0.3292 0.0000
14.336 173.2277 0.7707 0.3292 0.0000
14.368 173.2502 0.7696 0.3292 0.0000
14.400 173.2727 0.7686 0.3292 0.0000
14.432 173.2952 0.7675 0.3292 0.0000
14.464 173.3177 0.7664 0.3292 0.0000
14.496 173.3402 0.7654 0.3292 0.0000
14.528 173.3627 0.7643 0.3292 0.0000
14.560 173.3852 0.7633 0.3292 0.0000
14.592 173.4077 0.7622 0.3292 0.0000
14.624 173.4302 0.7612 0.3292 0.0000
14.656 173.4527 0.7601 0.3292 0.0000
14.688 173.4752 0.7591 0.3292 0.0000
14.720 173.4977 0.7580 0.3292 0.0000
14.752 173.5202 0.7569 0.3292 0.0000
14.784 173.5427 0.7559 0.3292 0.0000
14.816 173.5652 0.7548 0.3292 0.0000
14.848 173.5877 0.7538 0.3292 0.0000
14.880 173.6102 0.7527 0.3292 0.0000
14.912 173.6327 0.7517 0.3292 0.0000
14.944 173.6552 0.7506 0.3292 0.0000
14.976 173.6777 0.7496 0.3292 0.0000
15.008 173.7002 0.7485 0.3292 0.0000
15.040 173.7227 0.7475 0.3292 0.0000
15.072 173.7452 0.7464 0.3292 0.0000
15.104 173.7677 0.7453 0.3292 0.0000
15.136 173.7903 0.7443 0.3292 0.0000
15.168 173.8128 0.7432 0.3292 0.0000
15.200 173.8353 0.7422 0.3292 0.0000
15.232 173.8578 0.7411 0.3292 0.0000
15.264 173.8803 0.7401 0.3292 0.0000
15.296 173.9028 0.7390 0.3292 0.0000
15.328 173.9253 0.7380 0.3292 0.0000
15.360 173.9478 0.7369 0.3292 0.0000
15.392 173.9703 0.7358 0.3292 0.0000
15.424 173.9928 0.7348 0.3292 0.0000
15.456 174.0153 0.7337 0.3292 0.0000
15.488 174.0378 0.7327 0.3292 0.0000
15.520 174.0603 0.7316 0.3292 0.0000
15.552 174.0828 0.7306 0.3292 0.0000
15.584 174.1053 0.7295 0.3292 0.0000
15.616 174.1278 0.7285 0.3292 0.0000
15.648 174.1503 0.7274 0.3292 0.0000
15.680 174.1728 0.7263 0.3292 0.0000
15.712 174.1953 0.7253 0.3292 0.0000
15.744 174.2178 0.7242 0.3292 0.0000
15.776 174.2403 0.7232 0.3292 0.0000
15.808 174.2628 0.7221 0.3292 0.0000
15.840 174.2853 0.7211 0.3292 0.0000
15.872 174.3078 0.7200 0.3292 0.0000
15.904 174.3303 0.7190 0.3292 0.0000
15.936 174.3528 0.7179 0.3292 0.0000
15.968 174.3753 0.7169 0.3292 0.0000
16.000 174.3978 0.7158 0.3292 0.0000
16.032 174.4203 0.7147 0.3292 0.0000
16.064 174.4428 0.7137 0.3292 0.0000
16.096 174.4653 0.7126 0.3292 0.0000
16.128 174.4879 0.7116 0.3292 0.0000
16.160 174.5104 0.7105 0.3292 0.0000
16.192 174.5329 0.7095 0.3292 0.0000
16.224 174.5554 0.7084 0.3292 0.0000
16.256 174.5779 0.7074 0.3292 0.0000
16.288 174.6004 0.7063 0.3292 0.0000
16.320 174.6229 0.7052 0.3292 0.0000
16.352 174.6454 0.7042 0.3292 0.0000
16.384 174.6679 0.7031 0.3292 0.0000
16.416 174.6904 0.7021 0.3292 0.0000
16.448 174.7129 0.7010 0.3292 0.0000
16.480 174.7354 0.7000 0.3292 0.0000
16.512 174.7579 0.6989 0.3292 0.0000
16.544 174.7804 0.6979 0.3292 0.0000
16.576 174.8029 0.6968 0.3292 0.0000
16.608 174.8254 0.6957 0.3292 0.0000
16.640 174.8479 0.6947 0.3292 0.0000
16.672 174.8704 0.6936 0.3292 0.0000
16.704 174.8929 0.6926 0.3292 0.0000
16.736 174.9154 0.6915 0.3292 0.0000
16.768 174.9379 0.6905 0.3292 0.0000
16.800 174.9604 0.6894 0.3292 0.0000
16.832 174.9829 0.6884 0.3292 0.0000
16.864 175.0054 0.6873 0.3292 0.0000
16.896 175.0279 0.6863 0.3292 0.0000
16.928 175.0504 0.6852 0.3292 0.0000
16.960 175.0729 0.6841 0.3292 0.0000
16.992 175.0954 0.6831 0.3292 0.0000
17.024 175.1179 0.6820 0.3292 0.0000
17.056 175.1404 0.6810 0.3292 0.0000
17.088 175.1630 0.6799 0.3292 0.0000
17.120 175.1855 0.6789 0.3292 0.0000
17.152 175.2080 0.6778 0.3292 0.0000
17.184 175.2305 0.6768 0.3292 0.0000
17.216 175.2530 0.6757 0.3292 0.0000
17.248 175.2755 0.6746 0.3292 0.0000
17.280 175.2980 0.6736 0.3292 0.0000
17.312 175.3205 0.6725 0.3292 0.0000
17.344 175.3430 0.6715 0.3292 0.0000
17.376 175.3655 0.6704 0.3292 0.0000
17.408 175.3880 0.6694 0.3292 0.0000
17.440 175.4105 0.6683 0.3292 0.0000
17.472 175.4330 0.6673 0.3292 0.0000
17.504 175.4555 0.6662 0.3292 0.0000
17.536 175.4780 0.6651 0.3292 0.0000
17.568 175.5005 0.6641 0.3292 0.0000
17.600 175.5230 0.6630 0.3292 0.0000
17.632 175.5455 0.6620 0.3292 0.0000
17.664 175.5680 0.6609 0.3292 0.0000
17.696 175.5905 0.6599 0.3292 0.0000
17.728 175.6130 0.6588 0.3292 0.0000
17.760 175.6355 0.6578 0.3292 0.0000
17.792 175.6580 0.6567 0.3292 0.0000
17.824 175.6805 0.6557 0.3292 0.0000
17.856 175.7030 0.6546 0.3292 0.0000
17.888 175.7255 0.6535 0.3292 0.0000
17.920 175.7480 0.6525 0.3292 0.0000
17.952 175.7705 0.6514 0.3292 0.0000
17.984 175.7930 0.6504 0.3292 0.0000
18.016 175.8155 0.6493 0.3292 0.0000
18.048 175.8380 0.6483 0.3292 0.0000
18.080 175.8606 0.6472 0.3292 0.0000
18.112 175.8831 0.6462 0.3292 0.0000
18.144 175.9056 0.6451 0.3292 0.0000
18.176 175.9281 0.6440 0.3292 0.0000
18.208 175.9506 0.6430 0.3292 0.0000
18.240 175.9731 0.6419 0.3292 0.0000
18.272 175.9956 0.6409 0.3292 0.0000
18.304 176.0181 0.6398 0.3292 0.0000
18.336 176.0406 0.6388 0.3292 0.0000
18.368 176.0631 0.6377 0.3292 0.0000
18.400 176.0856 0.6367 0.3292 0.0000
18.432 176.1081 0.6356 0.3292 0.0000
18.464 176.1306 0.6345 0.3292 0.0000
18.496 176.1531 0.6335 0.3292 0.0000
18.528 176.1756 0.6324 0.3292 0.0000
18.560 176.1981 0.6314 0.3292 0.0000
18.592 176.2206 0.6303 0.3292 0.0000
18.624 176.2431 0.6293 0.3292 0.0000
