time x y z yaw
4.096 26.9329 -1.3697 0.3292 1.5707
4.128 26.9551 -1.3695 0.3292 1.5707
4.160 26.9773 -1.3694 0.3292 1.5707
4.192 26.9995 -1.3692 0.3292 1.5708
4.224 27.0216 -1.3690 0.3292 1.5708
4.256 27.0438 -1.3689 0.3292 1.5708
4.288 27.0660 -1.3687 0.3292 1.5708
4.320 27.0882 -1.3685 0.3292 1.5708
4.352 27.1103 -1.3684 0.3292 1.5708
4.384 27.1325 -1.3682 0.3292 1.5708
4.416 27.1547 -1.3681 0.3292 1.5708
4.448 27.1769 -1.3679 0.3292 1.5708
4.480 27.1990 -1.3677 0.3292 1.5708
4.512 27.2212 -1.3676 0.3292 1.5708
4.544 27.2434 -1.3674 0.3292 1.5708
4.576 27.2656 -1.3673 0.3292 1.5708
4.608 27.2877 -1.3671 0.3292 1.5708
4.640 27.3099 -1.3669 0.3292 1.5708
4.672 27.3321 -1.3668 0.3292 1.5708
4.704 27.3543 -1.3666 0.3292 1.5708
4.736 27.3764 -1.3664 0.3292 1.5708
4.768 27.3986 -1.3663 0.3292 1.5707
4.800 27.4208 -1.3661 0.3292 1.5707
4.832 27.4430 -1.3660 0.3292 1.5707
4.864 27.4651 -1.3658 0.3292 1.5707
4.896 27.4873 -1.3656 0.3292 1.5707
4.928 27.5095 -1.3655 0.3292 1.5707
4.960 27.5317 -1.3653 0.3292 1.5707
4.992 27.5538 -1.3652 0.3292 1.5707
5.024 27.5760 -1.3650 0.3292 1.5707
5.056 27.5982 -1.3648 0.3292 1.5707
5.088 27.6204 -1.3647 0.3292 1.5707
5.120 27.6425 -1.3645 0.3292 1.5707
5.152 27.6647 -1.3643 0.3292 1.5707
5.184 27.6869 -1.3642 0.3292 1.5708
5.216 27.7091 -1.3640 0.3292 1.5708
5.248 27.7312 -1.3639 0.3292 1.5708
5.280 27.7534 -1.3637 0.3292 1.5708
5.312 27.7756 -1.3635 0.3292 1.5708
5.344 27.7978 -1.3634 0.3292 1.5708
5.376 27.8199 -1.3632 0.3292 1.5708
5.408 27.8421 -1.3631 0.3292 1.5708
5.440 27.8643 -1.3629 0.3292 1.5708
5.472 27.8865 -1.3627 0.3292 1.5708
5.504 27.9086 -1.3626 0.3292 1.5708
5.536 27.9308 -1.3624 0.3292 1.5708
5.568 27.9530 -1.3623 0.3292 1.5708
5.600 27.9752 -1.3621 0.3292 1.5708
5.632 27.9974 -1.3619 0.3292 1.5708
5.664 28.0195 -1.3618 0.3292 1.5708
5.696 28.0417 -1.3616 0.3292 1.5708
5.728 28.0639 -1.3614 0.3292 1.5708
5.760 28.0861 -1.3613 0.3292 1.5707
5.792 28.1082 -1.3611 0.3292 1.5707
5.824 28.1304 -1.3610 0.3292 1.5707
5.856 28.1526 -1.3608 0.3292 1.5707
5.888 28.1748 -1.3606 0.3292 1.5707
5.920 28.1969 -1.3605 0.3292 1.5707
5.952 28.2191 -1.3603 0.3292 1.5707
5.984 28.2413 -1.3602 0.3292 1.5707
6.016 28.2635 -1.3600 0.3292 1.5707
6.048 28.2856 -1.3598 0.3292 1.5707
6.080 28.3078 -1.3597 0.3292 1.5707
6.112 28.3300 -1.3595 0.3292 1.5707
6.144 28.3522 -1.3593 0.3292 1.5707
6.176 28.3743 -1.3592 0.3292 1.5707
6.208 28.3965 -1.3590 0.3292 1.5708
6.240 28.4187 -1.3589 0.3292 1.5708
6.272 28.4409 -1.3587 0.3292 1.5708
6.304 28.4630 -1.3585 0.3292 1.5708
6.336 28.4852 -1.3584 0.3292 1.5708
6.368 28.5074 -1.3582 0.3292 1.5708
6.400 28.5296 -1.3581 0.3292 1.5708
6.432 28.5517 -1.3579 0.3292 1.5708
6.464 28.5739 -1.3577 0.3292 1.5708
6.496 28.5961 -1.3576 0.3292 1.5708
6.528 28.6183 -1.3574 0.3292 1.5708
6.560 28.6404 -1.3572 0.3292 1.5708
6.592 28.6626 -1.3571 0.3292 1.5708
6.624 28.6848 -1.3569 0.3292 1.5708
6.656 28.7070 -1.3568 0.3292 1.5708
6.688 28.7291 -1.3566 0.3292 1.5708
6.720 28.7513 -1.3564 0.3292 1.5708
6.752 28.7735 -1.3563 0.3292 1.5707
6.784 28.7957 -1.3561 0.3292 1.5707
6.816 28.8178 -1.3560 0.3292 1.5707
6.848 28.8400 -1.3558 0.3292 1.5707
6.880 28.8622 -1.3556 0.3292 1.5707
6.912 28.8844 -1.3555 0.3292 1.5707
6.944 28.9065 -1.3553 0.3292 1.5707
6.976 28.9287 -1.3552 0.3292 1.5707
7.008 28.9509 -1.3550 0.3292 1.5707
7.040 28.9731 -1.3548 0.3292 1.5707
7.072 28.9952 -1.3547 0.3292 1.5707
7.104 29.0174 -1.3545 0.3292 1.5707
7.136 29.0396 -1.3543 0.3292 1.5707
7.168 29.0618 -1.3542 0.3292 1.5707
7.200 29.0839 -1.3540 0.3292 1.5708
7.232 29.1061 -1.3539 0.3292 1.5708
7.264 29.1283 -1.3537 0.3292 1.5708
7.296 29.1505 -1.3535 0.3292 1.5708
7.328 29.1726 -1.3534 0.3292 1.5708
7.360 29.1948 -1.3532 0.3292 1.5708
7.392 29.2170 -1.3531 0.3292 1.5708
7.424 29.2392 -1.3529 0.3292 1.5708
7.456 29.2613 -1.3527 0.3292 1.5708
7.488 29.2835 -1.3526 0.3292 1.5708
7.520 29.3057 -1.3524 0.3292 1.5708
7.552 29.3279 -1.3522 0.3292 1.5708
7.584 29.3501 -1.3521 0.3292 1.5708
7.616 29.3722 -1.3519 0.3292 1.5708
